r030,txt,rate,cc,exchangedate
818,Єгипетський фунт,1.811,EGP,06.01.2021
826,Фунт стерлінгів,38.5568,GBP,06.01.2021
840,Долар США,28.4028,USD,06.01.2021
933,Білоруський рубль,10.9651,BYN,06.01.2021
944,Азербайджанський манат,16.7183,AZN,06.01.2021
946,Румунський лей,7.1542,RON,06.01.2021
949,Турецька ліра,3.8424,TRY,06.01.2021
960,СПЗ (спеціальні права запозичення),41.0897,XDR,06.01.2021
975,Болгарський лев,17.8119,BGN,06.01.2021
978,Євро,34.846,EUR,06.01.2021
985,Злотий,7.6607,PLN,06.01.2021
12,Алжирський динар,0.21416,DZD,06.01.2021
50,Така,0.33343,BDT,06.01.2021
51,Вірменський драм,0.054105,AMD,06.01.2021
364,Іранський ріал,0.0006732,IRR,06.01.2021
368,Іракський динар,0.019366,IQD,06.01.2021
417,Сом,0.3421,KGS,06.01.2021
422,Ліванський фунт,0.018756,LBP,06.01.2021
434,Лівійський динар,21.1383,LYD,06.01.2021
458,Малайзійський ринггіт,7.0047,MYR,06.01.2021
504,Марокканський дирхам,3.1763,MAD,06.01.2021
704,Донг,0.0012244,VND,06.01.2021
764,Бат,0.9445,THB,06.01.2021
784,Дирхам ОАЕ,7.698,AED,06.01.2021
788,Туніський динар,10.5192,TND,06.01.2021
860,Узбецький сум,0.0026988,UZS,06.01.2021
901,Новий тайванський долар,1.006,TWD,06.01.2021
934,Туркменський новий манат,8.0785,TMT,06.01.2021
936,Ганське седі,4.8198,GHS,06.01.2021
941,Сербський динар,0.29536,RSD,06.01.2021
972,Сомоні,2.5022,TJS,06.01.2021
981,Ларі,8.6366,GEL,06.01.2021
986,Бразильський реал,5.4505,BRL,06.01.2021
959,Золото,55324.39,XAU,06.01.2021
961,Срібло,777.81,XAG,06.01.2021
962,Платина,30724.16,XPT,06.01.2021
964,Паладій,68959.16,XPD,06.01.2021
36,Австралійський долар,21.8659,AUD,07.01.2021
124,Канадський долар,22.261,CAD,07.01.2021
156,Юань Женьміньбі,4.3944,CNY,07.01.2021
191,Куна,4.6098,HRK,07.01.2021
203,Чеська крона,1.3286,CZK,07.01.2021
208,Данська крона,4.6847,DKK,07.01.2021
344,Гонконгівський долар,3.6635,HKD,07.01.2021
348,Форинт,0.096763,HUF,07.01.2021
356,Індійська рупія,0.38811,INR,07.01.2021
360,Рупія,0.0020407,IDR,07.01.2021
376,Новий ізраїльський шекель,8.8703,ILS,07.01.2021
392,Єна,0.27601,JPY,07.01.2021
398,Теньге,0.067419,KZT,07.01.2021
410,Вона,0.026129,KRW,07.01.2021
484,Мексиканське песо,1.4151,MXN,07.01.2021
498,Молдовський лей,1.6524,MDL,07.01.2021
